post_id,title,category,score,num_comments,author,collected_at
47624741,"Show HN: European alternatives to Google, Apple, Dropbox and 120 US apps",entertainment,270,101,madman_dev,2026-04-03 17:43:20
47624645,Show HN: Apfel – The free AI already on your Mac,technology,150,23,franze,2026-04-03 17:43:20
47561426,What Category Theory Teaches Us About DataFrames,technology,38,4,mchav,2026-04-03 17:43:20
47562455,The True Shape of Io's Steeple Mountain,technology,68,1,carlosjobim,2026-04-03 17:43:20
47618189,Tailscale's new macOS home,technology,485,235,tosh,2026-04-03 17:43:20
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,545,187,pretext,2026-04-03 17:43:20
47573728,Intel Assured Supply Chain Product Brief,technology,7,1,aw-engineer,2026-04-03 17:43:20
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,277,122,sedev,2026-04-03 17:43:20
47625385,"H.264 Streaming Fees: What Changed, Who's Affected, and What It Means",entertainment,21,9,phantomathkg,2026-04-03 17:43:20
47560959,Show HN: Home Maker: Declare Your Dev Tools in a Makefile,entertainment,69,39,sthottingal,2026-04-03 17:43:20
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,technology,60,4,01-_-,2026-04-03 17:43:20
47624879,Switzerland hosts 'CERN of semiconductor research',science,22,4,teleforce,2026-04-03 17:43:20
47617376,OpenAI Acquires TBPN,technology,217,179,surprisetalk,2026-04-03 17:43:20
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,440,332,mooreds,2026-04-03 17:43:20
47620933,Memo: A language that remembers only the last 12 lines of code,technology,54,28,notem,2026-04-03 17:43:20
47621438,Show HN: Made a little Artemis II tracker,entertainment,116,42,codingmoh,2026-04-03 17:43:20
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,865,412,novaRom,2026-04-03 17:43:20
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,524,110,AbuAssar,2026-04-03 17:43:20
47623101,A Rave Review of Superpowers (For Claude Code),technology,29,17,emschwartz,2026-04-03 17:43:20
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,technology,144,45,jackson-mcd,2026-04-03 17:43:20
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,274,132,Growtika,2026-04-03 17:43:20
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,743,348,hkmaxpro,2026-04-03 17:43:20
47611921,Significant raise of reports,technology,295,151,stratos123,2026-04-03 17:43:20
47621792,Post Mortem: axios NPM supply chain compromise,technology,98,61,Kyro38,2026-04-03 17:43:20
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,34,21,Realman78,2026-04-03 17:43:20
47615876,The case for zero-error horizons in trustworthy LLMs,technology,74,102,daigoba66,2026-04-03 17:43:20
47612558,Enabling Codex to Analyze Two Decades of Hacker News Data,technology,80,30,ronfriedhaber,2026-04-03 17:43:20
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,100,60,rdme,2026-04-03 17:43:20
47620039,"Reporting potholes with an ESP32, LoRA, and AI",technology,20,0,flakespancakes,2026-04-03 17:43:20
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,142,111,kasparnoor,2026-04-03 17:43:20
47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,entertainment,18,3,symisc_devel,2026-04-03 17:43:20
47618221,The Australian government has announced gambling advertising reforms,worldnews,122,91,gostsamo,2026-04-03 17:43:20
47609694,Email obfuscation: What works in 2026?,technology,353,99,jaden,2026-04-03 17:43:20
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,technology,26,3,j0rg3,2026-04-03 17:43:20
47557385,The revenge of the data scientist,technology,170,37,hamelsmu,2026-04-03 17:43:20
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",technology,9,5,arttaboi,2026-04-03 17:43:20
47604155,SpaceX files to go public,science,392,562,nutjob2,2026-04-03 17:43:20
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,61,4,nemoniac,2026-04-03 17:43:20
47624580,AI's fluency in other languages hides a Western worldview that can mislead users,technology,8,0,1659447091,2026-04-03 17:43:20
47610245,Things I Think I Think... Preferring Local OSS LLMs,technology,43,9,zdw,2026-04-03 17:43:20
47621937,Show HN: A Minimal Basic Inspired by Brainfuck,technology,6,0,ADavison2560,2026-04-03 17:43:20
47619322,A $20/month user costs OpenAI $65 in compute. AI video is a money furnace,technology,66,39,Aedelon,2026-04-03 17:43:20
47622616,The Technocracy Movement of the 1930s,technology,8,2,lazydogbrownfox,2026-04-03 17:43:20
47620381,AWS has officially removed all EC2 instances in Bahrain from their docs,technology,48,1,mirzap,2026-04-03 17:43:20
47571183,Show HN: CLI to order groceries via reverse-engineered REWE API (Haskell),technology,199,83,wazHFsRy,2026-04-03 17:43:20
47622496,"Run a Local LLM, and discover why LLMs are unpredictable",technology,5,0,mooreds,2026-04-03 17:43:20
47599510,"Random numbers, Persian code: A mysterious signal transfixes radio sleuths",technology,127,121,thinkingemote,2026-04-03 17:43:20
47624666,NHS staff boycott Palantir's data platform over ethical concerns,technology,9,0,macleginn,2026-04-03 17:43:20
47557921,Show HN: Git bayesect – Bayesian Git bisection for non-deterministic bugs,entertainment,332,44,hauntsaninja,2026-04-03 17:43:20
47603737,AI for American-produced cement and concrete,technology,218,117,latchkey,2026-04-03 17:43:20
47592755,OpenAI closes funding round at an $852B valuation,technology,525,492,surprisetalk,2026-04-03 17:43:20
47620155,Marc Andreessen Is Right That AI Isn't Killing Jobs. Interest Rate Hikes Are,technology,33,8,bigbobbeeper,2026-04-03 17:43:20
47558733,From 300KB to 69KB per Token: How LLM Architectures Solve the KV Cache Problem,technology,156,11,future-shock-ai,2026-04-03 17:43:20
47588103,"On the trail of ancient art, deep in the Sahara",technology,26,3,bookofjoe,2026-04-03 17:43:20
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,39,6,ruevs,2026-04-03 17:43:20
47610336,r/programming bans all discussion of LLM programming,technology,188,203,cryptoz,2026-04-03 17:43:20
47574871,"Show HN: Zerobox – Sandbox any command with file, network, credential controls",entertainment,138,92,afshinmeh,2026-04-03 17:43:20
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,199,56,tjgreen,2026-04-03 17:43:20
47584795,Why the US Navy won't blast the Iranians and 'open' Strait of Hormuz,technology,458,1426,KoftaBob,2026-04-03 17:43:20
